Ano,Semana,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento,Infectados
2010,6,1.90,243.90,164.60,59.50,46.20,199.62,424.25,18.40,2
2010,7,33.70,226.80,158.50,27.80,27.40,186.82,560.50,8.23,0
2010,8,30.70,240.40,159.50,61.70,31.80,194.20,471.25,16.00,0
2010,9,0.00,257.20,162.60,63.40,56.00,202.12,432.00,12.73,0
2010,10,1.10,263.10,161.70,66.10,63.60,202.98,395.75,16.77,2
2010,11,0.00,262.40,167.40,59.40,65.30,203.98,429.50,14.60,0
2010,12,25.70,257.10,162.90,54.30,71.30,200.68,440.50,16.53,0
2010,13,16.50,239.00,166.00,35.80,34.70,193.34,511.50,9.83,4
2010,14,92.50,232.70,165.40,40.00,27.70,188.56,580.50,7.07,0
2010,15,15.30,227.80,165.80,42.20,23.50,189.92,557.25,7.57,0
2010,16,3.20,232.20,161.90,51.10,24.40,190.68,505.50,11.37,0
2010,17,40.50,225.70,164.60,42.10,18.90,187.44,562.25,7.10,0
2010,18,19.00,235.90,158.00,51.60,32.20,188.92,524.50,9.57,0
2010,19,23.90,230.60,161.60,47.80,20.50,187.90,561.50,6.27,2
2010,20,1.30,239.60,158.30,59.80,30.00,192.50,482.00,11.03,0
2010,21,0.00,252.50,154.70,65.20,55.90,196.86,438.50,12.37,0
2010,22,13.90,252.40,162.10,58.00,51.50,199.28,441.00,14.63,0
2010,23,69.50,241.10,161.00,52.80,52.30,191.62,511.25,10.23,0
2010,24,0.00,241.80,149.80,69.30,51.80,191.88,432.50,10.57,0
2010,25,3.60,240.30,153.30,52.80,58.00,194.62,417.25,11.07,0
2010,26,0.00,252.10,145.60,68.00,72.70,195.32,383.75,13.10,0
2010,27,0.00,250.20,151.10,57.10,77.20,198.16,403.00,11.75,0
2010,28,8.80,253.00,150.40,58.70,81.10,198.28,440.00,10.40,2
2010,29,0.00,249.10,153.90,53.10,81.10,197.30,460.00,9.45,1
2010,30,0.00,251.80,152.80,56.40,80.40,198.62,453.00,7.35,0
2010,31,0.00,256.70,150.80,67.40,98.20,200.80,451.00,8.00,6
2010,32,0.00,256.50,155.70,62.00,93.30,199.00,442.25,14.43,0
2010,33,0.00,254.70,145.20,67.80,95.20,196.14,423.50,15.80,0
2010,34,0.00,256.20,147.80,72.10,97.40,196.30,458.50,13.17,0
2010,35,0.00,261.90,157.60,71.50,98.00,200.56,438.50,17.17,3
2010,36,0.00,258.60,150.70,70.00,97.10,199.32,427.00,15.83,8
2010,37,0.00,260.20,152.90,72.30,96.00,197.76,425.75,19.50,8
2010,38,0.00,263.90,152.20,73.50,106.60,201.02,399.75,17.73,2
2010,39,0.00,263.10,151.80,73.50,99.00,204.40,355.00,21.50,12
2010,40,0.00,265.90,157.40,74.40,104.10,200.66,380.75,20.40,6
2010,41,0.00,270.10,153.30,73.40,99.40,200.96,361.00,19.17,5
2010,42,0.00,262.30,156.80,65.10,100.00,201.16,359.25,18.17,6
2010,43,9.90,256.50,161.40,51.10,82.90,197.90,424.75,15.27,16
2010,44,0.00,260.90,165.60,58.90,73.90,200.54,412.75,10.80,7
2010,45,0.00,266.30,160.70,72.90,95.30,203.84,366.25,24.00,2
2010,46,0.00,268.80,156.30,74.20,100.20,205.88,356.00,17.67,2
2010,47,0.00,260.40,165.00,57.70,89.30,202.86,399.00,20.73,6
2010,48,0.00,262.30,158.30,63.90,91.10,201.36,385.25,21.90,7
2010,49,0.00,261.00,164.30,59.20,93.50,204.80,404.00,23.75,8
2010,50,0.00,255.50,163.20,54.10,81.50,200.54,458.00,25.75,2
2010,51,25.20,230.40,158.90,20.00,43.40,186.44,565.00,12.50,4
2010,52,9.60,247.30,157.40,57.00,64.00,195.42,495.00,19.25,6
2010,53,24.40,211.60,138.90,54.90,46.50,168.06,415.75,17.25,4
2011,1,0.00,35.90,20.80,10.90,11.20,28.08,52.75,3.00,0
2011,2,54.10,234.60,160.70,47.20,51.00,189.80,493.50,13.90,7
2011,3,44.00,219.00,152.70,40.80,30.60,181.04,545.50,9.27,6
2011,4,29.20,209.00,153.30,18.80,20.40,173.88,591.00,10.73,8
2011,5,52.30,212.00,151.10,38.00,18.50,176.90,588.00,7.90,9
2011,6,34.40,227.40,159.80,57.00,21.50,185.00,550.00,13.43,15
2011,7,2.50,225.30,156.70,47.50,18.80,185.26,535.75,8.13,9
2011,8,28.30,218.40,157.80,34.30,17.60,179.22,578.75,8.63,7
2011,9,59.70,219.40,154.60,43.20,13.30,177.90,630.25,7.23,7
2011,10,70.50,215.90,155.60,43.10,14.00,176.96,589.75,6.33,13
2011,11,40.70,213.30,154.20,35.00,8.30,177.88,610.25,3.77,6
2011,12,71.80,218.80,153.50,46.70,6.80,178.74,596.00,7.17,6
2011,13,3.80,224.00,155.10,54.60,7.50,182.12,574.00,7.97,1
2011,14,44.80,219.30,155.60,40.30,5.30,180.20,602.75,7.60,1
2011,15,100.50,220.10,152.30,49.60,4.10,179.06,577.75,6.33,0
2011,16,134.80,209.40,154.10,24.50,5.40,174.12,610.50,8.80,0
2011,17,84.10,216.10,155.30,45.00,12.50,178.82,602.25,5.70,1
2011,18,20.50,216.40,158.50,41.80,15.20,178.24,572.00,7.27,0
2011,19,14.70,212.80,160.80,31.20,13.10,181.94,592.75,6.77,0
2011,20,49.80,216.80,160.30,41.21,18.50,182.24,555.75,7.10,0
2011,21,44.80,216.90,157.80,47.80,17.50,181.02,577.50,4.37,0
2011,22,4.70,215.50,158.00,53.00,20.40,181.42,554.50,7.67,0
2011,23,26.00,215.30,146.30,51.30,18.80,176.98,541.75,3.67,0
2011,24,4.90,220.30,150.30,57.10,24.00,179.18,547.25,9.23,0
2011,25,0.20,224.20,143.90,59.50,37.50,180.20,521.25,9.03,0
2011,26,28.90,219.40,149.50,46.50,25.40,179.34,543.50,6.67,0
2011,27,1.50,225.80,148.40,59.40,32.10,180.82,532.75,6.88,0
2011,28,15.00,214.20,151.30,43.20,36.10,178.30,595.00,6.40,0
2011,29,15.00,213.70,150.30,43.50,34.70,177.06,557.91,3.80,0
2011,30,20.70,230.00,146.20,61.00,36.90,183.48,510.91,4.05,0
2011,31,0.00,231.50,141.20,58.40,61.60,184.18,477.91,6.25,0
2011,32,0.00,243.90,143.60,61.20,57.30,186.90,452.75,8.87,0
2011,33,0.40,246.50,147.40,69.60,68.50,191.50,420.00,14.30,0
2011,34,0.00,249.10,143.30,67.90,76.60,190.60,392.75,12.07,0
2011,35,6.70,240.80,150.50,60.40,79.80,190.06,414.75,17.33,0
2011,36,0.00,251.20,144.90,66.00,84.40,191.20,399.75,17.93,0
2011,37,0.00,253.80,143.70,68.70,80.42,193.92,455.00,22.67,0
2011,38,0.00,254.50,149.60,66.50,86.90,196.62,464.00,22.75,0
2011,39,0.00,260.20,149.30,72.20,90.50,197.54,468.00,22.75,0
2011,40,0.00,261.00,152.80,68.90,88.60,198.52,481.75,27.25,0
2011,41,0.00,262.00,155.50,69.00,98.50,199.22,398.25,22.00,0
2011,42,0.00,256.40,160.60,56.00,84.30,197.10,419.75,14.23,0
2011,43,41.00,243.80,160.00,36.40,53.70,191.46,483.75,12.83,0
2011,44,0.00,251.30,156.30,67.40,79.50,195.66,408.25,15.43,0
2011,45,0.20,244.60,151.80,56.20,64.60,192.62,437.00,17.50,0
2011,46,0.00,256.70,151.40,67.00,84.30,197.36,383.75,17.90,0
2011,47,0.00,257.80,147.90,70.40,84.80,196.46,388.75,21.23,0
2011,48,0.00,255.80,151.00,56.50,81.70,196.58,404.25,15.47,0
2011,49,0.00,257.10,156.80,58.90,73.00,196.36,440.75,16.93,0
2011,50,0.00,256.10,147.40,67.80,88.20,197.52,458.00,30.75,0
2011,51,0.00,256.50,152.20,66.50,82.40,196.22,478.91,21.00,0
2011,52,0.00,259.70,161.50,58.70,86.30,200.48,492.00,30.25,1
2011,53,0.00,258.70,159.90,60.10,83.40,200.60,478.25,21.33,1
2012,1,0.00,255.90,161.50,61.80,87.60,200.00,415.75,22.00,1
2012,2,0.00,259.60,157.80,65.50,96.70,201.58,391.25,18.50,0
2012,3,73.20,237.70,160.30,31.90,55.70,189.52,492.75,13.17,1
2012,4,31.40,232.90,159.20,34.90,44.10,188.52,494.50,8.47,0
2012,5,0.80,244.70,156.70,69.20,69.50,194.54,409.50,18.33,0
2012,6,1.80,248.90,159.00,48.80,81.80,195.90,417.00,16.80,1
2012,7,5.80,232.50,159.90,27.80,47.10,185.82,512.50,13.10,0
2012,8,80.50,234.60,151.50,55.20,33.20,182.60,544.25,9.42,2
2012,9,7.30,226.40,152.00,55.90,35.60,183.30,524.25,8.33,2
2012,10,0.40,234.40,157.20,56.81,45.90,188.00,520.50,11.68,0
2012,11,19.30,235.60,158.90,42.61,35.60,188.60,496.50,10.73,0
2012,12,45.80,230.30,153.60,40.40,41.00,185.18,564.75,6.93,1
2012,13,124.60,222.50,157.20,32.50,24.80,182.60,555.75,13.63,0
2012,14,8.60,231.40,157.40,49.30,26.70,188.08,554.50,6.90,0
2012,15,2.80,238.80,157.10,54.10,42.90,191.12,464.00,8.53,2
2012,16,23.20,223.00,157.70,32.30,21.10,181.98,598.00,6.07,2
2012,17,15.60,237.60,156.50,55.71,29.50,189.40,504.25,10.47,0
2012,18,0.00,245.30,150.60,62.30,53.90,192.00,447.00,11.53,2
2012,19,0.00,250.70,155.20,53.80,62.20,195.16,420.75,16.43,1
2012,20,0.20,253.20,159.90,61.60,58.90,195.76,424.75,18.07,1
2012,21,6.90,241.10,149.30,52.50,58.80,188.50,460.25,7.10,2
