ds,exo
2014-06-23,1.3
2014-06-24,9.4
2014-06-25,56.6
2014-06-26,35.7
2014-06-27,67.9
2014-06-28,59.7
2014-06-29,8.9
2014-06-30,11.4
2014-07-01,0.9
2014-07-02,0.0
2014-07-03,0.0
2014-07-04,0.0
2014-07-05,0.0
2014-07-06,0.0
2014-07-07,1.7
2014-07-08,0.0
2014-07-09,0.0
2014-07-10,3.0
2014-07-11,1.1
2014-07-12,0.0
2014-07-13,0.0
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,0.0
2014-07-18,13.4
2014-07-19,0.5
2014-07-20,0.0
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,0.0
2014-07-24,39.0
2014-07-25,12.7
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,0.0
2014-07-29,0.0
2014-07-30,0.0
2014-07-31,1.3
2014-08-01,0.6
2014-08-02,18.5
2014-08-03,0.5
2014-08-04,0.0
2014-08-05,11.6
2014-08-06,0.0
2014-08-07,0.0
2014-08-08,0.2
2014-08-09,0.0
2014-08-10,0.4
2014-08-11,0.0
2014-08-12,4.4
2014-08-13,12.9
2014-08-14,0.0
2014-08-15,0.0
2014-08-16,20.3
2014-08-17,7.1
2014-08-18,0.2
2014-08-19,0.0
2014-08-20,0.0
2014-08-21,0.0
2014-08-22,0.0
2014-08-23,0.0
2014-08-24,0.0
2014-08-25,0.0
2014-08-26,4.3
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-08-30,0.0
2014-08-31,19.8
2014-09-01,7.6
2014-09-02,0.0
2014-09-03,51.6
2014-09-04,0.0
2014-09-05,0.0
2014-09-06,0.0
2014-09-07,20.6
2014-09-08,0.0
2014-09-09,0.0
2014-09-10,0.0
2014-09-11,0.0
2014-09-12,14.6
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,2.9
2014-09-16,1.9
2014-09-17,0.0
2014-09-18,0.5
2014-09-19,23.5
2014-09-20,0.3
2014-09-21,0.9
2014-09-22,0.0
2014-09-23,0.0
2014-09-24,19.2
2014-09-25,0.3
2014-09-26,37.6
2014-09-27,4.4
2014-09-28,0.0
2014-09-29,62.4
2014-09-30,15.9
2014-10-01,42.7
2014-10-02,0.0
2014-10-03,0.0
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,0.0
2014-10-07,0.2
2014-10-08,0.0
2014-10-09,0.0
2014-10-10,0.0
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,0.7
2014-10-14,27.8
2014-10-15,0.0
2014-10-16,0.0
2014-10-17,7.1
2014-10-18,28.4
2014-10-19,26.3
2014-10-20,15.5
2014-10-21,0.0
2014-10-22,0.0
2014-10-23,0.0
2014-10-24,0.0
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,0.0
2014-10-28,0.0
2014-10-29,0.0
2014-10-30,0.0
2014-10-31,4.1
2014-11-01,0.0
2014-11-02,5.1
2014-11-03,3.7
2014-11-04,32.9
2014-11-05,9.1
2014-11-06,0.8
2014-11-07,51.5
2014-11-08,5.5
2014-11-09,0.0
2014-11-10,0.0
2014-11-11,0.0
2014-11-12,0.5
2014-11-13,8.9
2014-11-14,0.0
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,0.0
2014-11-18,0.0
2014-11-19,0.0
2014-11-20,2.3
2014-11-21,0.0
2014-11-22,12.6
2014-11-23,0.0
2014-11-24,0.0
2014-11-25,15.2
2014-11-26,26.0
2014-11-27,0.0
2014-11-28,1.7
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,0.0
2014-12-02,0.0
2014-12-03,12.4
2014-12-04,5.4
2014-12-05,0.0
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,0.0
2014-12-09,0.0
2014-12-10,16.7
2014-12-11,13.0
2014-12-12,27.7
2014-12-13,16.1
2014-12-14,0.0
2014-12-15,0.0
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,0.0
2014-12-19,2.3
2014-12-20,5.5
2014-12-21,21.1
2014-12-22,23.8
2014-12-23,0.0
2014-12-24,4.3
2014-12-25,0.0
2014-12-26,0.0
2014-12-27,30.6
2014-12-28,3.8
2014-12-29,20.9
2014-12-30,2.0
2014-12-31,15.8
2015-01-01,47.0
2015-01-02,31.2
2015-01-03,1.2
2015-01-04,0.8
2015-01-05,0.2
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,2.4
2015-01-09,8.7
2015-01-10,3.9
2015-01-11,5.7
2015-01-12,4.3
2015-01-13,0.0
2015-01-14,17.1
2015-01-15,3.1
