Data_Notificacao,Infectados_Dengue,Semana,Ano
14/07/2008,66,29,2008
15/07/2008,34,29,2008
16/07/2008,38,29,2008
17/07/2008,55,29,2008
18/07/2008,68,29,2008
19/07/2008,62,29,2008
20/07/2008,32,30,2008
21/07/2008,32,30,2008
22/07/2008,138,30,2008
23/07/2008,45,30,2008
24/07/2008,47,30,2008
25/07/2008,46,30,2008
26/07/2008,34,30,2008
27/07/2008,8,31,2008
28/07/2008,36,31,2008
29/07/2008,41,31,2008
30/07/2008,30,31,2008
31/07/2008,43,31,2008
01/08/2008,55,31,2008
02/08/2008,30,31,2008
03/08/2008,33,32,2008
04/08/2008,36,32,2008
05/08/2008,81,32,2008
06/08/2008,36,32,2008
07/08/2008,26,32,2008
08/08/2008,26,32,2008
09/08/2008,22,32,2008
10/08/2008,12,33,2008
11/08/2008,45,33,2008
12/08/2008,24,33,2008
13/08/2008,21,33,2008
14/08/2008,42,33,2008
15/08/2008,32,33,2008
16/08/2008,16,33,2008
17/08/2008,16,34,2008
18/08/2008,30,34,2008
19/08/2008,21,34,2008
20/08/2008,50,34,2008
21/08/2008,25,34,2008
22/08/2008,26,34,2008
23/08/2008,11,34,2008
24/08/2008,19,35,2008
25/08/2008,14,35,2008
26/08/2008,18,35,2008
27/08/2008,32,35,2008
28/08/2008,12,35,2008
29/08/2008,14,35,2008
30/08/2008,6,35,2008
31/08/2008,27,36,2008
01/09/2008,20,36,2008
02/09/2008,20,36,2008
03/09/2008,24,36,2008
04/09/2008,22,36,2008
05/09/2008,18,36,2008
06/09/2008,10,36,2008
07/09/2008,10,37,2008
08/09/2008,11,37,2008
09/09/2008,10,37,2008
10/09/2008,28,37,2008
11/09/2008,14,37,2008
12/09/2008,33,37,2008
13/09/2008,18,37,2008
14/09/2008,8,38,2008
15/09/2008,17,38,2008
16/09/2008,16,38,2008
17/09/2008,21,38,2008
18/09/2008,6,38,2008
19/09/2008,26,38,2008
20/09/2008,14,38,2008
21/09/2008,8,39,2008
22/09/2008,16,39,2008
23/09/2008,20,39,2008
24/09/2008,16,39,2008
25/09/2008,14,39,2008
26/09/2008,10,39,2008
27/09/2008,10,39,2008
28/09/2008,16,40,2008
29/09/2008,4,40,2008
30/09/2008,2,40,2008
01/10/2008,23,40,2008
02/10/2008,6,40,2008
03/10/2008,22,40,2008
04/10/2008,14,40,2008
05/10/2008,0,41,2008
06/10/2008,20,41,2008
07/10/2008,20,41,2008
08/10/2008,24,41,2008
09/10/2008,30,41,2008
10/10/2008,17,41,2008
11/10/2008,12,41,2008
12/10/2008,10,42,2008
13/10/2008,16,42,2008
14/10/2008,20,42,2008
15/10/2008,391,42,2008
16/10/2008,9,42,2008
17/10/2008,18,42,2008
18/10/2008,32,42,2008
19/10/2008,12,43,2008
20/10/2008,25,43,2008
21/10/2008,16,43,2008
22/10/2008,16,43,2008
23/10/2008,24,43,2008
24/10/2008,32,43,2008
25/10/2008,10,43,2008
26/10/2008,8,44,2008
27/10/2008,8,44,2008
28/10/2008,12,44,2008
29/10/2008,17,44,2008
30/10/2008,20,44,2008
31/10/2008,20,44,2008
01/11/2008,11,44,2008
02/11/2008,4,45,2008
03/11/2008,12,45,2008
04/11/2008,26,45,2008
05/11/2008,18,45,2008
06/11/2008,10,45,2008
07/11/2008,12,45,2008
08/11/2008,8,45,2008
09/11/2008,14,46,2008
10/11/2008,23,46,2008
11/11/2008,23,46,2008
12/11/2008,35,46,2008
13/11/2008,16,46,2008
14/11/2008,16,46,2008
15/11/2008,10,46,2008
16/11/2008,2,47,2008
17/11/2008,40,47,2008
18/11/2008,18,47,2008
19/11/2008,20,47,2008
20/11/2008,16,47,2008
21/11/2008,28,47,2008
22/11/2008,14,47,2008
23/11/2008,12,48,2008
24/11/2008,18,48,2008
25/11/2008,36,48,2008
26/11/2008,22,48,2008
27/11/2008,14,48,2008
28/11/2008,30,48,2008
29/11/2008,2,48,2008
30/11/2008,4,49,2008
01/12/2008,18,49,2008
02/12/2008,18,49,2008
03/12/2008,20,49,2008
04/12/2008,11,49,2008
05/12/2008,12,49,2008
06/12/2008,4,49,2008
07/12/2008,8,50,2008
08/12/2008,14,50,2008
09/12/2008,16,50,2008
10/12/2008,20,50,2008
11/12/2008,24,50,2008
12/12/2008,16,50,2008
13/12/2008,2,50,2008
14/12/2008,2,51,2008
15/12/2008,34,51,2008
16/12/2008,12,51,2008
17/12/2008,40,51,2008
18/12/2008,24,51,2008
19/12/2008,22,51,2008
20/12/2008,12,51,2008
21/12/2008,0,52,2008
22/12/2008,24,52,2008
23/12/2008,9,52,2008
24/12/2008,2,52,2008
25/12/2008,6,52,2008
26/12/2008,8,52,2008
27/12/2008,12,52,2008
28/12/2008,8,53,2008
29/12/2008,14,53,2008
30/12/2008,26,53,2008
31/12/2008,8,53,2008
01/01/2009,4,1,2009
02/01/2009,16,1,2009
03/01/2009,16,1,2009
04/01/2009,8,2,2009
05/01/2009,37,2,2009
06/01/2009,19,2,2009
07/01/2009,26,2,2009
08/01/2009,24,2,2009
09/01/2009,18,2,2009
10/01/2009,6,2,2009
11/01/2009,0,3,2009
12/01/2009,24,3,2009
13/01/2009,16,3,2009
14/01/2009,36,3,2009
15/01/2009,14,3,2009
16/01/2009,26,3,2009
17/01/2009,16,3,2009
18/01/2009,8,4,2009
19/01/2009,61,4,2009
20/01/2009,21,4,2009
21/01/2009,18,4,2009
22/01/2009,40,4,2009
23/01/2009,46,4,2009
