Semana,Ano,Data_Notificacao,Infectados_Dengue,Infectados_7
4,2008,24/01/2008,46,400
4,2008,25/01/2008,62,404
4,2008,26/01/2008,36,424
5,2008,27/01/2008,21,430
5,2008,28/01/2008,120,427
5,2008,29/01/2008,60,459
5,2008,30/01/2008,110,443
5,2008,31/01/2008,119,455
5,2008,01/02/2008,128,528
5,2008,02/02/2008,50,594
6,2008,03/02/2008,36,608
6,2008,04/02/2008,49,623
6,2008,05/02/2008,37,552
6,2008,06/02/2008,94,529
6,2008,07/02/2008,140,513
6,2008,08/02/2008,173,534
6,2008,09/02/2008,63,579
7,2008,10/02/2008,54,592
7,2008,11/02/2008,179,610
7,2008,12/02/2008,89,740
7,2008,13/02/2008,125,792
7,2008,14/02/2008,66,823
7,2008,15/02/2008,108,749
7,2008,16/02/2008,48,684
8,2008,17/02/2008,57,669
8,2008,18/02/2008,191,672
8,2008,19/02/2008,150,684
8,2008,20/02/2008,134,745
8,2008,21/02/2008,94,754
8,2008,22/02/2008,109,782
8,2008,23/02/2008,85,783
9,2008,24/02/2008,50,820
9,2008,25/02/2008,190,813
9,2008,26/02/2008,160,812
9,2008,27/02/2008,155,822
9,2008,28/02/2008,173,843
9,2008,29/02/2008,121,922
9,2008,01/03/2008,42,934
10,2008,02/03/2008,30,891
10,2008,03/03/2008,221,871
10,2008,04/03/2008,184,902
10,2008,05/03/2008,182,926
10,2008,06/03/2008,102,953
10,2008,07/03/2008,129,882
10,2008,08/03/2008,60,890
11,2008,09/03/2008,66,908
11,2008,10/03/2008,238,944
11,2008,11/03/2008,163,961
11,2008,12/03/2008,193,940
11,2008,13/03/2008,176,951
11,2008,14/03/2008,232,1025
11,2008,15/03/2008,69,1128
12,2008,16/03/2008,60,1137
12,2008,17/03/2008,252,1131
12,2008,18/03/2008,228,1145
12,2008,19/03/2008,137,1210
12,2008,20/03/2008,109,1154
12,2008,21/03/2008,109,1087
12,2008,22/03/2008,102,964
13,2008,23/03/2008,74,997
13,2008,24/03/2008,385,1011
13,2008,25/03/2008,328,1144
13,2008,26/03/2008,336,1244
13,2008,27/03/2008,267,1443
13,2008,28/03/2008,355,1601
13,2008,29/03/2008,303,1847
14,2008,30/03/2008,316,2048
14,2008,31/03/2008,514,2290
