semana,ano,cidade,infectados
9,2015,Caucaia,0
10,2015,Caucaia,0
11,2015,Caucaia,0
12,2015,Caucaia,0
13,2015,Caucaia,0
14,2015,Caucaia,0
15,2015,Caucaia,0
16,2015,Caucaia,0
17,2015,Caucaia,0
18,2015,Caucaia,0
19,2015,Caucaia,0
20,2015,Caucaia,0
21,2015,Caucaia,0
22,2015,Caucaia,0
23,2015,Caucaia,0
24,2015,Caucaia,0
25,2015,Caucaia,0
26,2015,Caucaia,0
27,2015,Caucaia,0
28,2015,Caucaia,0
29,2015,Caucaia,0
30,2015,Caucaia,0
31,2015,Caucaia,0
