Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento,Semana,Ano
21/06/2007,0,,33.6,,10.1,5.7,25.88,56.75,1.5,25,2007
21/06/2007,1200,0,,20.4,,,,,,25,2007
22/06/2007,0,,34.7,,10.5,6.5,26.54,49.25,1.666667,25,2007
22/06/2007,1200,0,,19,,,,,,25,2007
23/06/2007,0,,32.8,,5.8,7.3,25.68,64,2.166667,25,2007
23/06/2007,1200,0,,20,,,,,,25,2007
24/06/2007,0,,35,,9.6,4.1,26.88,59,0.681107,26,2007
24/06/2007,1200,0,,20.9,,,,,,26,2007
25/06/2007,0,,35.2,,8.7,5.4,26.86,58.5,1.066667,26,2007
25/06/2007,1200,0,,20.4,,,,,,26,2007
26/06/2007,0,,34.4,,10.6,5.8,25.74,59.25,1.166667,26,2007
26/06/2007,1200,0,,18,,,,,,26,2007
27/06/2007,0,,34.8,,10.4,5.9,26.46,62.25,1.833333,26,2007
27/06/2007,1200,0,,18.8,,,,,,26,2007
28/06/2007,0,,31.8,,4.2,5.3,26.1,70.25,1,26,2007
28/06/2007,1200,4.2,,21,,,,,,26,2007
29/06/2007,0,,33.6,,5.1,3.8,26.28,69,1.166667,26,2007
29/06/2007,1200,0.8,,22,,,,,,26,2007
30/06/2007,0,,35.2,,9.6,4.7,26.9,61.75,0.666667,26,2007
30/06/2007,1200,0,,19.8,,,,,,26,2007
01/07/2007,0,,35.7,,7.6,10,27.26,73,2.25,27,2007
01/07/2007,1200,0,,21,,,,,,27,2007
02/07/2007,0,,35.3,,9,5.2,27.02,72,1.5,27,2007
02/07/2007,1200,0,,20,,,,,,27,2007
03/07/2007,0,,35.5,,10.1,5.6,27.46,70,0.85,27,2007
03/07/2007,1200,0,,21.3,,,,,,27,2007
04/07/2007,0,,34.6,,10.6,6.5,27.08,61,0.5,27,2007
04/07/2007,1200,0,,21.9,,,,,,27,2007
05/07/2007,0,,35.3,,9.2,8,27.56,63,1,27,2007
05/07/2007,1200,0,,19.4,,,,,,27,2007
06/07/2007,0,,34.3,,10.2,7.8,26.78,59,1,27,2007
06/07/2007,1200,0,,20.4,,,,,,27,2007
07/07/2007,0,,35.2,,10.7,5.5,27.34,51,0.75,27,2007
07/07/2007,1200,0,,21,,,,,,27,2007
08/07/2007,0,,34.4,,8,8.6,27.18,64,1.5,28,2007
08/07/2007,1200,0,,20,,,,,,28,2007
09/07/2007,0,,34.4,,7.9,6.4,26.76,79,1.25,28,2007
09/07/2007,1200,0.3,,22.9,,,,,,28,2007
10/07/2007,0,,34.1,,8.2,6.5,27.04,67,1.6,28,2007
10/07/2007,1200,0,,21.3,,,,,,28,2007
11/07/2007,0,,33.7,,8.4,6.6,26.94,65,2.25,28,2007
11/07/2007,1200,0,,20.8,,,,,,28,2007
12/07/2007,0,,35.5,,9.5,7.9,27.28,68,1.5,28,2007
12/07/2007,1200,0,,20.4,,,,,,28,2007
13/07/2007,0,,34.2,,4.8,8.6,26.7,77,1,28,2007
13/07/2007,1200,0.3,,20.6,,,,,,28,2007
14/07/2007,0,,35.5,,6.8,7.2,27.66,72,0.75,28,2007
14/07/2007,1200,0,,21.6,,,,,,28,2007
15/07/2007,0,,35.2,,7.7,6.9,27.18,77,1,29,2007
15/07/2007,1200,2,,22.5,,,,,,29,2007
16/07/2007,0,,35.3,,8.8,6.7,26.92,75,1.75,29,2007
16/07/2007,1200,0.1,,21.5,,,,,,29,2007
17/07/2007,0,,35.7,,7.9,7.6,26.56,75,0.5,29,2007
17/07/2007,1200,0,,20,,,,,,29,2007
18/07/2007,0,,36.7,,9.4,7.6,26.92,74,1.75,29,2007
18/07/2007,1200,0,,19.9,,,,,,29,2007
19/07/2007,0,,35.7,,10.2,8.5,27.44,62,1.25,29,2007
19/07/2007,1200,0,,21.5,,,,,,29,2007
20/07/2007,0,,36.1,,10.2,9,27.06,65,1,29,2007
20/07/2007,1200,0,,20.9,,,,,,29,2007
21/07/2007,0,,34.8,,10.6,8,26.5,61,1.5,29,2007
21/07/2007,1200,0,,19,,,,,,29,2007
22/07/2007,0,,36.2,,9,8.6,26.56,70,0.5,30,2007
22/07/2007,1200,0,,18.2,,,,,,30,2007
23/07/2007,0,,31.8,,2.8,8.2,26.56,78,0.75,30,2007
23/07/2007,1200,0,,23.3,,,,,,30,2007
24/07/2007,0,,35,,9.6,5.2,26.9,66,1.25,30,2007
24/07/2007,1200,0,,21,,,,,,30,2007
25/07/2007,0,,35.7,,10.2,8,26.98,68,1.1,30,2007
25/07/2007,1200,0,,19.1,,,,,,30,2007
26/07/2007,0,,35.5,,7.8,8.9,26.88,70,0.75,30,2007
26/07/2007,1200,0,,20.2,,,,,,30,2007
27/07/2007,0,,35.4,,9.8,8,27.24,71,1,30,2007
27/07/2007,1200,0,,20.9,,,,,,30,2007
