city,year,weekofyear,Infectados,Var_Alvo
sb,2018,36,1,1
sb,2018,37,0,0
sb,2018,38,0,0
sb,2018,39,0,0
sb,2018,40,0,0
sb,2018,41,0,0
sb,2018,42,0,0
sb,2018,43,0,0
sb,2018,44,0,0
sb,2018,45,1,1
sb,2018,46,0,0
sb,2018,47,0,0
sb,2018,48,0,0
sb,2018,49,1,1
sb,2018,50,0,0
sb,2018,51,1,1
sb,2018,52,0,0
sb,2019,1,0,0
sb,2019,2,0,0
sb,2019,3,0,0
sb,2019,4,1,1
sb,2019,5,0,0
sb,2019,6,0,0
sb,2019,7,0,0
sb,2019,8,1,1
sb,2019,9,0,0
sb,2019,10,0,0
sb,2019,11,1,1
sb,2019,12,0,0
sb,2019,13,1,1
sb,2019,14,0,0
sb,2019,15,2,2
sb,2019,16,0,0
sb,2019,17,0,0
sb,2019,18,2,2
sb,2019,19,2,2
sb,2019,20,0,0
sb,2019,21,2,2
sb,2019,22,2,2
sb,2019,23,0,0
sb,2019,24,0,0
sb,2019,25,2,2
sb,2019,26,0,0
sb,2019,27,1,1
sb,2019,28,1,1
sb,2019,29,13,13
sb,2019,30,16,16
sb,2019,31,13,13
sb,2019,32,7,7
sb,2019,33,13,13
sb,2019,34,6,6
sb,2019,35,3,3
sb,2019,36,2,2
sb,2019,37,0,0
sb,2019,38,2,2
sb,2019,39,0,0
sb,2019,40,0,0
sb,2019,41,0,0
sb,2019,42,0,0
sb,2019,43,0,0
sb,2019,44,0,0
sb,2019,45,0,0
sb,2019,46,0,0
sb,2019,47,0,0
sb,2019,48,0,0
sb,2019,49,0,0
sb,2019,50,0,0
sb,2019,51,0,0
sb,2019,52,0,0
