Semana,Ano,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento
45,2013,55.9,252.2,154.1,51.6,80.5,195.28,441.5,14.333333
46,2013,0,250.5,157.4,57.1,90.1,196.62,393.5,14.133334
47,2013,0.7,248.7,153.9,53.2,85.4,195.82,422.5,14.866666
48,2013,0,252.9,154.6,56,70.3,196.4,401.75,12.499999
49,2013,0,259.2,155.2,69.8,85.8,199.56,439,14.25
50,2013,0,255.4,152.7,70.1,84.5,196.42,490,18.25
51,2013,13.7,241.9,159.2,37.6,64.7,193.58,489,11.5
52,2013,0.6,255.3,153.4,57.7,74.7,198.86,488,12.75
53,2013,0,109.9,62.6,26.6,25.8,84.56,185.75,6.666667
1,2014,0.3,141.6,87.9,33.4,41.8,111.58,255.75,6.999999
2,2014,59.4,234.9,153,41,42.5,184.08,509.25,9.333334
3,2014,0.4,237.2,160.1,46.6,65.6,193.06,489.75,9.499999
4,2014,2.2,246.4,155.2,48.7,65.8,195.42,432.75,11.366667
5,2014,19.5,246.4,151.7,48.2,64.8,192.74,484.25,10.266667
6,2014,1.3,241.5,156.7,37.8,48.3,192.8,483.5,10.4
7,2014,88.6,239.3,161,32.5,49.1,193.96,509,6.4
8,2014,90.6,224.9,153.3,35.9,23.8,181.62,562.5,4.466666
9,2014,0.7,236.4,150.8,58,47.9,189.72,494.75,7.666666
10,2014,25.2,232.7,157.1,45.9,36,188.62,533,7.633333
11,2014,16.2,221.5,156.2,40.3,25.3,181.74,573.5,8.066667
12,2014,52.5,227.1,153.1,47.6,31.2,183.94,566.75,5.366666
13,2014,3.6,234.3,155.4,58.3,37.4,189.02,537.75,7.799999
14,2014,103.3,224.6,150.1,36.7,21.4,179,598.25,4.633334
15,2014,71.3,217.4,152.7,34.1,14.5,179.06,618.75,2.933333
16,2014,34.1,222.4,153.1,49.9,20.3,184.16,580.75,3.266666
17,2014,20.3,229,157.01,42,23.1,186.26,565.25,7.48
18,2014,60.8,218.9,152.9,36.6,14.3,179,588.5,5.70888
19,2014,46.8,226.9,153.4,52.5,28.1,184.54,577.25,9.75776
20,2014,31.4,217.4,152.6,35.5,16,179.26,597.5,10.78
21,2014,32.3,227.2,151.6,55.6,19.6,184.06,570.5,10.24
22,2014,5.9,225.6,146.7,55.1,13.3,182.06,568.25,4.466666
23,2014,0.6,232.3,146.3,63.2,26.1,185.94,528.75,5.466666
24,2014,2.4,238,145,60.5,42.7,186.04,500,5.166667
25,2014,0,237.7,147.9,45.7,65.1,189.84,497.75,6.899999
26,2014,7,239.6,145.5,51.8,80.8,189.6,460,9.4
27,2014,0,248.4,139.2,62.2,84.4,190.54,487.76,8.133333
28,2014,0,247.8,149.3,57.2,96.12,194.38,494.84,7.8
29,2014,0,249,142.3,72.7,96.7,193.1,469,10.15
30,2014,0,245.8,137.9,63.1,91.9,192.04,462,8.25
31,2014,0,253.6,141.1,70.6,74.2,194.56,442.17,10.566666
32,2014,0,252.7,142.1,64.3,84,192.86,437.25,12.966667
33,2014,0,254.2,138.5,67.1,90.1,194.96,393.75,12.366667
34,2014,0,255.5,142.9,70,79.3,195.7,402.5,11.033333
35,2014,0,252.5,151.6,61.4,95.6,197.04,411.5,14.166667
36,2014,0,255.6,154.8,61.3,88.6,196.48,406,13.733334
37,2014,0,256,159.1,62.5,90.5,199.98,389,14.333333
38,2014,0,256.6,158.9,66.1,88.5,197.56,412.25,16.833334
39,2014,0,260.8,154.4,69.2,94.8,198.68,378.25,12.399999
40,2014,0,258.4,165.4,58.2,92.2,200.82,409,16.066667
41,2014,0,260.1,165.1,69.1,93.7,203.38,381.75,11.833333
42,2014,0,265.8,160.6,72.4,103.7,204.14,384,13.833334
43,2014,0,260.1,157.4,70,88.4,199.3,398,10.466667
44,2014,0,260.2,152.7,70,106.1,199.76,347.25,14.666666
45,2014,0,256.3,163.4,54.8,84.1,199.18,392.75,12.733333
46,2014,0,258.4,155.2,56.4,82,197.54,370.25,15.833333
47,2014,3.6,250.8,169.8,54.8,76,200,396.5,15.666667
48,2014,0,258.1,154.7,68.8,88.4,199.12,370,14.833332
49,2014,0,256.2,157.9,61.9,74.4,200.5,399,13.583333
50,2014,0,253.7,161.4,53.2,84.5,200.32,435,15.75
51,2014,0,254.6,159.9,56.1,75.4,199.68,440.92,11.5
52,2014,0,249.6,162,41.2,87.5,200.84,419,15.75
53,2014,2.6,144.5,93.1,26.6,40.3,112.96,260.25,5.983333
1,2015,2.8,105,72.6,19,33.3,83.28,195.25,4.233334
2,2015,10.8,248.8,159.7,56.6,70.4,196.08,419,11.433334
3,2015,0,258.8,163.4,64.7,101.1,203.86,372.5,15.233333
4,2015,1.4,253.1,163.5,49.2,87.3,199.8,401.75,11.133333
5,2015,0,259.1,155.6,64.2,92.8,201,360,10.5
6,2015,25.9,248.4,161.9,43.4,62.9,195.08,480,9.4
7,2015,10.7,258.4,163.2,66.1,89.9,205.18,379.5,14.266667
8,2015,62.2,229.3,158.4,25.7,42.5,185.7,536.25,5.666666
9,2015,101.1,220.2,155.5,29.9,22.4,180.64,571.75,5.433333
10,2015,23.2,220.3,156.5,40.3,17.9,180.6,567.75,4.799999
11,2015,10.7,226.6,157.5,48.4,26.4,184.88,539.25,5.200001
12,2015,33.4,230.1,161,43.3,34.2,188.02,523.25,6.633334
13,2015,14.5,216,158.9,33.3,17.8,179.56,569,3.7
14,2015,93.6,221.1,158,34.7,15.7,178.64,613.75,4.4
15,2015,34.1,222,159.5,35.3,16.9,182.48,598.5,4.966665
16,2015,8,220.9,155.6,38.9,17.2,182.22,577,5.133333
17,2015,11.5,220.4,158.5,49.8,19.7,183,578.75,4.466667
18,2015,0,233.1,150.2,62.7,33.8,185.8,536,7.966668
19,2015,24.5,230.7,155.4,50.8,36.9,187.1,543,6.900001
20,2015,0,234.1,147.5,67.9,41,186.5,510.25,7.733332
21,2015,5.1,238.6,154,48.3,47.9,190.76,518,6.75
